-29,-85
-44,-74
-71,-95
-11,98
-32,-10
53,100
95,-5
-82,36
7,-40
99,-52
-61,47
24,65
-56,40
28,42
-5,20
-6,-27
-66,67
-83,53
45,-34
52,-26
34,4
22,-73
16,-2
-4,56
-74,25
-42,47
-93,67
80,-68
100,-36
-90,-46
18,-80
-46,-43
98,-27
-71,45
33,14
-68,22
58,90
-76,73
0,6
78,-6
99,67
82,-34
-44,19
8,-7
27,93
20,77
62,-84
-57,-25
74,-39
-35,-14
-3,96
57,-67
-75,-60
44,61
1,98
72,73
40,86
19,34
47,-36
-41,-64
25,84
-82,-99
54,4
-97,-72
79,-93
-63,48
-46,100
-88,-13
-59,-13
12,-77
99,3
-42,87
86,29
66,73
70,14
-35,38
6,-49
-72,-12
17,30
48,-83
-34,32
-53,-96
47,-54
57,67
32,16
53,-31
80,82
-3,42
-12,-13
-93,-2
9,-79
-80,-31
-97,41
-53,12
-88,79
66,47
-14,-99
51,-80
-68,20
-85,34
-64,-47
-69,18
64,-51
97,-73
-82,1
-5,23
-2,79
-27,2
66,47
38,-76
11,87
-95,-1
35,17
79,-51
-13,-64
-14,-50
15,56
3,-31
86,53
53,-69
67,41
-70,58
59,-76
-34,-14
69,12
33,-21
-99,27
0,58
0,24
38,-62
-89,-47
37,83
51,-57
-12,29
91,-100
-86,31
45,36
-88,89
-42,-46
-7,-19
97,-77
-65,-72
99,-74
29,-96
6,-73
88,-54
-81,-19
91,73
40,-32
-37,92
-53,25
13,6
77,42
80,14
-31,83
20,38
-36,100
-87,9
27,39
-45,10
-12,62
-29,-100
-60,-34
64,-35
-2,26
-13,-64
49,16
-63,18
11,79
-34,21
78,86
89,-6
90,19
-100,-48
40,75
9,34
-97,-98
-12,38
29,-96
-84,0
-33,-33
82,51
97,98
-46,31
-83,96
51,-14
-1,-24
99,79
-77,86
16,-7
-5,-12
84,35
-70,80
22,85
-48,28
89,8
-7,-33
44,4
-78,-50
-2,-1
71,-12
3,80
-33,21
25,-70
-74,66
-79,49
84,-30
-46,74
60,-38
-92,61
10,26
91,22
-44,-35
23,75
69,86
61,72
-14,1
42,-26
-74,-87
-93,-34
-16,62
78,-68
11,64
46,-15
-100,61
64,84
2,15
100,51
-55,32
-38,18
-5,67
18,-2
-26,-87
-32,33
-55,4
65,3
-5,-88
82,-46
-4,-55
67,15
88,30
67,-49
59,-37
-39,-92
74,-23
-54,86
84,91
10,-95
-12,56
-51,-99
14,76
73,53
81,9
-71,-78
-18,-57
-12,-9
73,78
69,-31
24,88
-9,12
64,-25
54,36
42,16
34,-74
-26,-98
-88,-66
34,-23
-20,-83
-17,94
-36,-73
26,22
49,-53
-82,-59
-13,-60
67,42
-34,-52
74,-79
-91,-93
83,-72
-30,-16
-87,67
-35,-31
31,-28
-97,-8
57,30
-91,-35
-91,7
-40,-98
-85,-96
-96,-60
