97,82,19
91,40,80
25,51,39
34,28,32
44,56,99
17,75,73
94,48,55
47,99,25
86,60,83
37,48,16
68,83,53
88,60,24
18,57,41
26,35,62
24,21,26
28,74,61
75,22,46
14,79,56
34,78,37
78,13,36
21,78,60
53,17,95
91,22,86
28,47,59
78,13,36
71,23,60
75,22,46
83,95,91
52,35,30
32,95,59
57,38,86
18,54,92
99,33,94
99,33,94
85,14,19
90,83,33
18,17,75
32,44,80
94,48,55
58,27,16
35,52,62
78,13,36
76,54,80
87,88,95
38,12,69
90,93,19
91,60,27
82,82,29
25,91,50
68,88,34
69,82,25
69,96,42
59,54,34
90,83,33
93,45,36
17,32,47
17,85,82
85,13,81
60,90,58
91,60,27
94,48,55
44,33,68
18,17,75
25,51,39
34,91,55
74,30,12
76,54,80
62,29,44
52,48,81
83,31,95
39,82,77
94,48,55
22,14,26
37,13,95
60,90,58
82,38,59
95,12,96
91,60,27
51,32,27
44,56,89
18,17,75
74,66,64
24,88,12
60,69,21
96,53,74
94,48,55
32,95,59
47,67,52
21,81,12
52,35,30
14,58,85
87,88,95
14,39,24
25,33,13
24,84,77
90,32,99
37,30,16
26,61,16
58,57,69
99,33,94
17,75,73
69,78,13
78,13,36
37,65,88
82,82,29
91,60,27
17,85,82
17,75,73
32,95,59
87,88,95
94,35,65
83,16,18
42,57,33
17,85,82
88,20,28
85,38,23
36,81,84
56,37,62
34,28,32
44,48,88
44,45,40
83,16,18
56,62,83
68,27,63
17,85,82
70,96,35
75,64,47
76,54,80
68,27,63
34,91,55
82,45,32
68,38,37
31,67,15
74,17,14
34,78,37
62,66,76
50,64,86
31,67,15
44,33,68
91,22,86
69,96,42
14,39,24
60,69,21
69,18,13
37,48,16
14,70,97
34,91,55
44,33,68
68,88,34
94,48,55
62,29,44
24,88,12
32,95,59
85,38,23
82,57,68
98,10,91
92,85,80
91,60,27
20,33,59
77,45,86
45,48,58
83,16,18
42,68,41
44,56,99
18,17,75
34,91,55
93,45,36
44,33,68
56,62,83
24,88,12
16,32,66
82,13,97
17,75,73
74,30,12
85,14,19
50,87,97
52,48,81
70,96,35
48,43,16
78,98,36
93,45,36
14,79,56
17,32,47
94,48,55
91,76,16
32,44,23
53,70,14
48,43,16
69,96,42
24,34,70
94,48,55
15,23,89
49,94,56
88,20,28
18,17,75
69,96,42
60,90,58
20,33,59
89,70,52
91,60,27
86,17,23
22,14,26
91,22,86
23,44,96
45,57,11
24,88,12
85,13,81
42,70,48
12,74,56
91,22,86
47,67,52
63,10,62
47,69,92
84,92,77
42,70,48
20,33,59
28,47,59
61,66,94
28,74,61
52,35,30
44,56,99
83,50,65
92,98,12
25,91,50
90,92,29
59,11,26
94,48,55
74,30,12
53,17,95
32,95,59
53,58,53
77,45,86
75,27,25
50,64,86
34,28,32
19,78,72
26,17,59
83,95,91
45,48,58
42,57,33
13,18,20
25,51,39
21,10,28
78,50,13
18,54,92
97,80,89
25,91,50
83,95,91
50,26,29
52,35,30
91,60,27
68,38,37
25,48,10
11,50,45
34,55,87
75,84,78
85,13,81
17,32,47
10,85,33
33,10,23
37,30,16
69,96,42
82,45,32
69,28,33
24,21,26
18,17,75
24,88,12
94,48,55
24,84,77
45,48,58
68,83,53
72,48,59
83,31,95
78,13,36
52,35,30
31,53,75
85,14,19
41,43,69
90,62,35
96,53,74
92,85,80
99,78,50
97,80,89
50,64,86
95,12,96
16,66,12
86,17,23
25,48,10
83,16,18
44,56,99
54,40,84
60,88,83
68,27,63
29,20,32
20,93,56
18,54,92
88,98,49
28,47,59
94,35,65
84,72,75
22,75,39
21,78,60
10,85,33
47,69,92
49,94,56
90,64,59
14,67,28
68,49,57
84,72,75
49,95,51
74,66,64
25,33,13
50,64,86
48,90,86
64,41,44
72,48,59
71,23,60
23,11,22
94,48,55
12,41,12
24,21,26
