59,50
94,68
8,82
69,16
59,60
48,89
43,97
51,99
55,83
61,41
42,88
39,6
89,15
10,85
30,56
11,13
41,2
2,27
61,73
57,19
72,91
39,93
89,96
63,52
47,59
28,77
23,60
97,0
25,25
21,90
97,49
50,9
15,46
24,74
16,72
16,78
14,94
50,46
46,31
4,9
5,62
85,71
98,22
29,23
11,37
90,37
12,41
92,61
95,30
76,36
44,57
79,75
52,30
53,91
76,84
32,0
36,86
85,39
61,70
88,78
65,76
23,55
74,93
44,99
80,23
62,73
10,20
34,5
41,22
13,71
89,10
79,54
46,67
75,83
54,11
88,71
16,73
79,50
58,4
100,82
47,2
82,70
62,29
97,67
33,4
6,15
10,54
9,6
27,96
11,49
57,60
25,16
86,95
86,93
73,66
12,39
47,46
46,1
98,16
17,55
